Date,Donor,Address,Amount
2011-02-17,"COURTHOUSE CORPORATE CENTER, LLC",,15000.0
2011-02-17,"TAYLOR RECYCLING FACILITY, LLC",,7500.0
2011-02-22,H.J. KALIKOW & CO LLC,,15000.0
2011-02-22,ZUFFA LLC,,15000.0
2011-02-22,"SARATOGA GAMING RESOURCES, LLC",,15000.0
2011-02-22,"TONIO BURGOS & ASSOCIATES OF NEW JERSEY, LLC",,15000.0
2011-02-22,"ALLERGAN SALES, LLC",,30000.0
2011-02-24,L A J PROPERTIES LLC,,25000.0
2011-03-09,DOLP 1155 PROPERTIES LLC,,2500.0
2011-03-09,COMCAST OF ILLINOIS/INDIANA/OHIO LLC,,15000.0
2011-03-09,"CABLEVISION OF WARWICK, LLC",,15000.0
2011-03-24,"J. DONOFRIO METALS CO, LLC",,1000.0
2011-04-12,"COMMUNITY COUNSELLING SERVICE CO., LLC",,5000.0
2011-04-12,"SEDLIS GOLDSTEIN GROUP, LLC",,10000.0
2011-04-13,BRIAR HILL REALTY LLC,,1000.0
2011-04-19,BOLTON ST. JOHNS LLC,,10000.0
2011-04-19,398 THIRD AVENUE REALTY LLC,,5000.0
2011-04-21,"SAINT MARK'S REHABILITATIVE MED, PLLC",,100.0
2011-05-03,H.J.K. LLC,,25000.0
2011-05-09,"EMPIRE MERCHANTS, LLC",,7000.0
2011-05-09,"EMPIRE MERCHANTS NORTH, LLC",,3000.0
2011-05-09,EDGEWATER INDUSTRIAL PARK LLC,,750.0
2011-05-10,WALTERS GROUP CONSULTING LLC,,3000.0
2011-05-10,ICONPLANS LLC,,1000.0
2011-05-10,"AVALON RISK, LLC",,1000.0
2011-05-10,"TAYLOR RECYCLING FACILITY, LLC",,2500.0
2011-05-10,TAYLOR BIOMASS ENERGY LLC,,2500.0
2011-05-10,A&L DOORS & HARDWARE LLC,,180.0
2011-05-10,"BLUE CHIP FARMS, LLC",,1000.0
2011-05-10,MACQUESTERN CONSTRUCTION MANAGEMENT LLC,,10000.0
2011-05-13,"NRP CONTRACTORS, LLC",,25000.0
2011-05-13,OMNI HOUSING DEVELOPMENT LLC,,5000.0
2011-05-13,"MS & B CONSTRUCTION CO., LLC",,15000.0
2011-05-17,"ALEXANDER HOLDINGS, LLC",,6000.0
2011-05-17,CONIFER REALTY LLC,,5000.0
2011-05-17,ST. ANN'S CDE OWNER LLC,,12500.0
2011-05-17,DV GROUP LLC,,3500.0
2011-05-18,TMD CONSTRUCTION JV LLC,,15000.0
2011-05-18,ZYGOTE LLC,,5000.0
2011-05-18,"MEHERIO, LLC",,5000.0
2011-05-18,MARATHON DEVELOPMENT LLC,,10000.0
2011-05-19,"METROPOLITAN REALTY GROUP, LLC",,5000.0
2011-05-19,REAL QUALITY WINDOWS & DOORS LLC,,5000.0
2011-05-19,"WOH GOVERNMENT SOLUTIONS, LLC",,2500.0
2011-05-23,ST. ANN'S ABH OWNER LLC,,12500.0
2011-05-24,RIVERGATE DEVELOPMENT LLC,,50000.0
2011-05-26,HALMAR INTERNATIONAL LLC,,25000.0
2011-05-26,"NORTH SHORE CAMP, LLC",,5000.0
2011-06-01,MILLBROOK VENTURES LLC,,15000.0
2011-06-01,"YANKEE GLOBAL ENTERPRISES, LLC",,25000.0
2011-06-01,TERN CONSTRUCTION & DEVELOPMENT LLC,,10000.0
2011-06-01,PLANET EARTH LLC,,5000.0
2011-06-02,UB DISTRIBUTORS LLC,,3000.0
2011-06-02,KERY LLC,,2500.0
2011-06-02,PANNONE LOPES DEVEREAUX & WEST LLC,,2500.0
2011-06-02,CYCAZ LLC,,5000.0
2011-06-02,"POKLEMBA & HOBBS, LLC",,250.0
2011-06-03,COMMERCIAL SITE MANAGEMENT LLC,,5000.0
2011-06-09,PARAMOUNT COUNTRY CLUB LLC,,2729.0
2011-06-15,"KOHL INDUSTRIAL PARK, LLC",,1000.0
2011-06-15,THE PARKSIDE GROUP LLC,,2000.0
2011-06-15,"WHITE BIRCH, LLC",,5000.0
2011-06-16,"CENTER MANAGEMENT GROUP, LLC",,1000.0
2011-06-16,"THE CLEARING HOUSE ASSOCIATION, LLC",,1000.0
2011-06-16,GAG KNICKERBOCKER PARKING LLC,,500.0
2011-06-16,BROADWAY 4D THEATRES LLC,,25000.0
2011-06-16,RAL DEVELOPMENT SERVICES LLC,,5000.0
2011-06-16,"OTG MANAGEMENT, LLC",,5000.0
2011-06-16,"C & C, LLC PAC ACCOUNT",,10000.0
2011-06-16,"TMA, LLC",,2500.0
2011-06-16,NS INVESTMENTS LLC,,5000.0
2011-06-16,"360 BROOKLYN INVESTORS, LLC",,5000.0
2011-06-16,BEEKMAN HOUSING VENTURES LLC,,5000.0
2011-06-16,ACS HOME CARE LLC,,1000.0
2011-06-17,"SARATOGA GAMING RESOURCES, LLC",,20000.0
2011-06-17,"BROWN INTEGRATED CHIROPRACTIC, PLLC",,200.0
2011-06-17,ERIE STATION 241 LLC,,5000.0
2011-06-17,ALZHEIMERS CARE SPECIALIST LLC,,1000.0
2011-06-17,"PORTABLES UNLIMITED, LLC",,2000.0
2011-06-17,GOTHAM YELLOW LLC,,1000.0
2011-06-21,BOTTLING GROUP LLC - FSV,,38000.0
2011-06-23,GLO ELECTRIC LLC,,2500.0
2011-06-23,AMERIGROUP NEW YORK LLC,,250.0
2011-06-27,"M & M OF BRUCKNER, LLC",,4000.0
2011-06-27,"OTG JFK T5 VENTURE, LLC",,5000.0
2011-06-28,THE PARKSIDE GROUP LLC,,5000.0
2011-06-28,TIME WARNER NY CABLE LLC,,25000.0
2011-06-29,"NBCUNIVERSAL MEDIA, LLC",,2500.0
2011-06-29,"NBCUNIVERSAL MEDIA, LLC",,2500.0
2011-06-30,LIBERTY STREET REALTY LLC,,5000.0
2011-06-30,ZUFFA LLC,,15000.0
2011-06-30,EAST 77TH REALTY LLC,,5000.0
2011-06-30,WEST 37TH STREET PARKING LLC,,5000.0
2011-06-30,"EAST 81ST REALTY, LLC",,5000.0
2011-06-30,TRIBECA NORTH END LLC,,5000.0
2011-06-30,"D&M N.Y.S., P.A.C., LLC",,1000.0
2011-07-01,"DOVER KNOLLS DEVELOPMENT CO. II, LLC",,5000.0
2011-07-02,ISLAND CAPITAL GROUP LLC,,11813.0
2011-07-05,"RALPH AVENUE ASSOCIATES PHASE II, LLC",,2000.0
2011-07-05,RALPH AVENUE ASSOCIATES LLC,,2000.0
2011-07-06,JOSEPH WOLF GROUP LLC,,5000.0
2011-07-06,20TH AVE. LLC,,35000.0
2011-07-13,"L & M BUILDERS GROUP, LLC",,25000.0
2011-07-13,"CHESTER MALL, LLC",,5000.0
2011-07-14,THE MULHOLLAND GROUP LLC,,10000.0
2011-07-18,"ALLSHOWS, LLC",,750.0
2011-07-18,BREAKTHROUGH RESOURCES LLC,,300.0
2011-07-18,SL GREEN MANAGEMENT LLC,,10000.0
2011-08-01,LAFARGE MID-ATLANTIC LLC,,5000.0
2011-08-02,"KAMUNTING STREET CAPITAL MANAGEMENT, LLC",,15000.0
2011-08-02,"HAMPSHIRE MANAGEMENT COMPANY NUMBER 20, LLC",,5000.0
2011-08-03,GRAMERCY ADVISORS LLC,,5000.0
2011-08-10,ORION SUMMIT SERVICES LLC,,25000.0
2011-08-29,"TRIMARAN FUND MANAGEMENT, LLC",,15000.0
2011-09-22,ATRIUM ASSOCIATES LLC,,1500.0
2011-10-03,STREAM LINE CIRCLE LLC,,25000.0
2011-10-03,"PIETRZAK & PFAU ENGINEERING & SURVEYING, PLLC",,5000.0
2011-10-03,SABER DOBBS FERRY LLC,,2500.0
2011-10-03,BOWNE ASSOCIATES LLC,,5000.0
2011-10-03,"TRIAD GROUP, LLC",,2000.0
2011-10-03,HALMAR INTERNATIONAL LLC,,25000.0
2011-10-12,"R & M ASSOCIATES, LLC",,1500.0
2011-10-12,WACHTEL VENTURES LLC,,2500.0
2011-10-12,DEERWOOD REAL ESTATE CAPITAL LLC,,2500.0
2011-10-12,LONGFEND TRUCKING LLC,,5000.0
2011-10-12,DEMON LOGISTICS LLC,,5000.0
2011-10-12,CANYON CLUB PARTNERS LLC,,2000.0
2011-10-12,NEW SEA CREST HEALTH CARE CENTER LLC,,5000.0
2011-10-12,CICERO PROPERTIES LLC,,1500.0
2011-10-14,"THE ROCKER II DRYWALL SERVICES, LLC",,5000.0
2011-10-14,BE BRONX BUILDERS LLC,,1000.0
2011-10-14,BLUEWATER PE LLC,,5000.0
2011-10-14,"BOND, SCHOENECK & KING, PLLC",,1000.0
2011-10-14,NORTHQUAY PROPERTIES LLC,,25000.0
2011-10-14,"R. MACK ESTATES, LLC.",,5000.0
2011-10-17,MADDEN REAL ESTATE VENTURES LLC,,1000.0
2011-10-31,"SARATOGA GAMING RESOURCES, LLC",,5000.0
2011-10-31,SERQUE LEASING CO. LLC,,50000.0
2011-10-31,EAST 77TH REALTY LLC,,50000.0
2011-10-31,"TONIO BURGOS & ASSOCIATES OF NEW JERSEY, LLC",,1000.0
2011-11-03,"AQUABELLA, LLC",,1000.0
2011-11-03,MELVILLE HOSPITALITY LLC,,2000.0
2011-11-03,"NEW ROC RESIDENTIAL, LLC",,5000.0
2011-11-03,DEMON REALTY LLC,,5000.0
2011-11-03,"INNOVATIVE ENGINEERING, PLLC",,1000.0
2011-11-04,"DOVER KNOLLS DEVELOPMENT CO. II, LLC",,25000.0
2011-11-04,"MURPHY ROAD RECYCLING, LLC",,5000.0
2011-11-04,BRONX FOUR LOTS LLC,,1000.0
2011-11-10,H.J. KALIKOW & CO LLC,,5000.0
2011-11-10,MADDEN REAL ESTATE VENTURES LLC,,1000.0
2011-11-16,1800 NORTHERN BLVD LLC,,25000.0
2011-11-16,"EMPIRE MERCHANTS NORTH, LLC",,15000.0
2011-11-16,H.J.K. LLC,,5000.0
2011-11-16,"LAKESIDE HELICOPTERS, LLC",,5000.0
2011-11-16,"EMPIRE MERCHANTS, LLC",,35000.0
2011-11-16,GOTHAM GOVERNMENT RELATIONS LLC,,1000.0
2011-11-16,"TSG FINANCIAL, LLC",,1000.0
2011-11-16,"MERIDIAN CAPITAL GROUP, LLC",,2500.0
2011-11-16,COMMERCIAL RECYCLING TECHNOLOGY LLC,,3000.0
2011-11-16,CARNAP LLC,,5000.0
2011-11-17,10 WEST 47TH STREET ASSOCIATES LLC,,500.0
2011-11-17,RENAISSANCE DOWNTOWNS LLC,,1000.0
2011-11-17,MERMAID MANOR REALTY LLC,,1000.0
2011-11-17,EDGEWATER INDUSTRIAL PARK LLC,,1250.0
2011-11-17,"THE RINALDI GROUP, LLC",,1000.0
2011-11-17,FJKP LLC,,1000.0
2011-11-17,"270 WEST 39TH STREET CO., LLC",,1500.0
2011-11-17,"ENGEL BURMAN SR. HOUSING AT EAST NORTHPORT, LLC",,2500.0
2011-11-17,"T-REX CAPITAL, LLC",,50000.0
2011-11-17,THOMAS SCOTTO CONSULTANTS LLC,,1000.0
2011-11-17,10 WEST 47TH STREET ASSOCIATES LLC,,500.0
2011-11-17,THE PARAMOUNT THEATRE LLC,,2000.0
2011-11-17,HUNGRY HARBOR CARE LLC,,6250.0
2011-11-17,"NORTH STREET COMMUNITY, LLC",,2500.0
2011-11-17,SEVEN EAST CARVER STREET LLC,,1000.0
2011-11-17,10 WEST 47TH STREET ASSOCIATES LLC,,500.0
2011-11-17,CAITHNESS LONG ISLAND LLC,,2000.0
2011-11-17,EB CARE AT MASSAPEQUA LLC,,6250.0
2011-11-17,"CABLEVISION OF WARWICK, LLC",,15000.0
2011-11-17,EDGEWATER INDUSTRIAL PK II LLC,,1250.0
2011-11-19,REVIEW ASSOCIATES LLC,,1500.0
2011-12-02,SLG AIR LLC,,59843.0
2011-12-02,FREER LYNBROOK LLC,,3000.0
2011-12-02,"AVOCA ENGINEERS & ARCHITECTS, LLC",,1000.0
2011-12-06,RFR HOLDING LLC,,3272.0
2011-12-07,MADISON COURT COMMERCIAL LLC,,4000.0
2011-12-07,TRIANGLE EQUITIES DEVE CO LLC,,25000.0
2011-12-07,MARATHON DEVELOPMENT GROUP LLC,,25000.0
2011-12-07,"GOETZMANN & ASSOCIATES, LLC",,1500.0
2011-12-07,"PALMER COURT ASSOCIATES, LLC",,5000.0
2011-12-07,"EB RACEWAY, LLC",,3000.0
2011-12-07,ENGEL BURMAN SR. HOUSING AT MASSAPEQUA LLC,,3000.0
2011-12-07,CLAREMONT PARK COMMERCIAL LLC,,5000.0
2011-12-07,PLANET EARTH LLC,,2500.0
2011-12-07,EB WOODBURY LLC,,3000.0
2011-12-08,"ZUFFA, LLC",,25000.0
2011-12-08,"PLUMMER & ASSOCIATES, LLC",,2500.0
2011-12-15,"YANKEE GLOBAL ENTERPRISES, LLC",,16100.0
2011-12-19,"PORTABLES UNLIMITED, LLC",,5000.0
2011-12-19,"ARISTA PROCESS SERVICE, LLC",,1000.0
2011-12-19,"GREEN HOLLAND MANAGEMENT, LLC",,1000.0
2011-12-19,CENTERS FOR CARE LLC,,30500.0
2011-12-19,"DERMARITE INDUSTRIES, LLC",,1000.0
2011-12-19,RVA BILLINGS LLC,,5000.0
2011-12-19,"GREEN HOLLAND MANAGEMENT, LLC",,1000.0
2011-12-19,"EQUINOX FINANCIAL PARTNERS, LLC",,1000.0
2011-12-19,"ATLANTIC-CB, LLC",,5000.0
2011-12-19,QUEENS NEPHROLOGY SERVICES LLC,,1000.0
2011-12-19,"VIP CERTIFIED HEALTH SERVICES, LLC",,10000.0
2011-12-19,"CRITERIONS, LLC",,1000.0
2011-12-19,PINNACLE HEALTH CONSULTANTS LLC,,2500.0
2011-12-19,"MN CONSULTING NY, LLC",,2500.0
2011-12-20,FLORAL AGENCY LLC,,1000.0
2011-12-20,"TONIO BURGOS & ASSOCIATES OF NEW JERSEY, LLC",,25000.0
2011-12-20,"DOUGLASTON DEVELOPMENT, LLC",,10000.0
2011-12-20,BOWNE ASSOCIATES LLC,,5000.0
2011-12-20,GOTHAM GOVERNMENT RELATIONS LLC,,1000.0
2011-12-20,PARK GARDENS REALTY LLC,,2000.0
2011-12-21,MOTORSPORT POWER LLC,,25000.0
2011-12-21,"ASTORIA ENERGY, LLC",,1000.0
2011-12-21,"SUPERB SECURITY & MONITORING, LLC.",,2500.0
2011-12-21,CAPITOL GROUP LLC,,2500.0
2011-12-21,EDGEWATER INDUSTRIAL PK II LLC,,500.0
2011-12-22,HALPERN STRATEGIC VENTURE LLC,,1000.0
2011-12-22,HALPERN STRATEGIC VENTURE LLC,,1000.0
2011-12-22,EDGEWATER INDUSTRIAL PARK LLC,,500.0
2011-12-22,JOPAL AT ST. JAMES LLC,,2500.0
2011-12-22,POST ACUTE PARTNERS MANAGEMENT LLC,,5000.0
2011-12-22,BROOKFIELD POWER US ASSET MANAGEMENT LLC,,1500.0
2011-12-22,GENESIS PARTNERS LLC,,200.0
2011-12-22,"SES ASSOCIATES, LLC",,1000.0
2012-01-03,"NBCUNIVERSAL MEDIA, LLC",,5000.0
2012-01-03,MVP REALTY ASSOCIATES LLC,,25000.0
2012-01-03,AMERIGROUP NEW YORK LLC,,500.0
2012-02-23,S&S REALTY OF ROCHESTER LLC,,525.0
2012-02-23,MSL PARTNERS LLC,,4200.0
2012-03-01,"ALTAIR VENTURES, LLC",,2000.0
2012-03-19,"CAVALRY PORTFOLIO SERVICES, LLC",,25000.0
2012-03-19,JADAM EQUITIES LLC,,25000.0
2012-03-19,"COURTHOUSE CORPORATE CENTER, LLC",,15000.0
2012-03-20,THE PARKSIDE GROUP LLC,,15000.0
2012-03-21,"SYRACUSE PROPERTY PARTNERS, LLC",,25000.0
2012-03-21,"BROWN & WEINRAUB, PLLC",,7500.0
2012-03-21,"EMPIRE MERCHANTS NORTH, LLC",,5000.0
2012-03-21,TIME WARNER NY CABLE LLC,,15000.0
2012-05-02,THE NRP GROUP LLC,,11506.0
2012-05-16,"EAST 81ST REALTY, LLC",,20000.0
2012-05-16,RIVER YORK STRATFORD LLC,,20000.0
2012-05-16,"ROTH & SONS NEW YORK, LLC",,45800.0
2012-05-16,EAST 46TH REALTY LLC,,14000.0
2012-05-16,ROTH & SONS MANAGEMENT LLC,,60000.0
2012-05-16,EAST 72ND REALTY LLC,,20000.0
2012-05-16,"RIVER YORK BARCLAY, LLC",,20000.0
2012-05-16,TRIBECA NORTH END LLC,,20000.0
2012-05-16,WEST 37TH STREET PARKING LLC,,20000.0
2012-05-16,"R & P OAK HILL DEVELOPMENT, LLC",,25000.0
2012-05-16,EAST 85TH REALTY LLC,,20000.0
2012-05-16,LIBERTY STREET REALTY LLC,,20000.0
2012-05-30,REAL QUALITY WINDOWS & DOORS LLC,,5000.0
2012-06-05,"DOUGLASTON DEVELOPMENT, LLC",,5000.0
2012-06-11,OMNI HOUSING DEVELOPMENT LLC,,5000.0
2012-06-12,"PIONEER MANAGEMENT GROUP, LLC",,5000.0
2012-06-19,"HIGH TECH BUILDERS, LLC",,5000.0
2012-06-28,808 COLUMBUS COMMERCIAL OWNERS LLC,,5000.0
2012-06-28,805 COLUMBUS LLC,,5000.0
2012-06-28,"COLUMBUS SQ. MANAGEMENT, LLC",,5000.0
2012-06-28,HUNGRY HARBOR CARE LLC,,5000.0
2012-06-28,"EB RACEWAY, LLC",,10000.0
2012-06-28,775 COLUMBUS LLC,,5000.0
2012-06-28,"WILLETS POINT HOLDINGS, LLC",,1500.0
2012-06-28,BOLTON ST. JOHNS LLC,,10000.0
2012-06-28,"THE CLEARING HOUSE ASSOCIATION, LLC",,25000.0
2012-06-28,BISHOP BEAUDRY CONSTRUCTION LLC,,2500.0
2012-06-28,"MALL 2 - BAY PLAZA, LLC",,2500.0
2012-06-28,775 COLUMBUS LLC,,5000.0
2012-06-28,"SEAN E. MCCANCE M.D., PLLC",,3500.0
2012-06-28,PANNONE LOPES DEVEREAUX & WEST LLC,,1500.0
2012-06-28,"ULTIMATE FIGHTING PRODUCTIONS, LLC",,50000.0
2012-06-28,795 COLUMBUS LLC,,5000.0
2012-06-28,HASA CONSTRUCTION LLC,,5000.0
2012-06-28,EB CARE AT MASSAPEQUA LLC,,6461.0
2012-06-28,"LIBERTY NATURAL GAS, LLC",,15000.0
2012-06-29,"MMAWC, LLC",,10000.0
2012-06-29,BK MEDFORD LLC,,2500.0
2012-06-29,"HALLETS A DEVELOPMENT CO., LLC",,2500.0
2012-06-29,BK AT SEAFORD LLC,,2500.0
2012-06-29,BK AT LONG BEACH LLC,,2500.0
2012-06-29,KNOWLEDGEPRO LLC,,500.0
2012-06-29,KNOWLEDGEPRO LLC,,1000.0
2012-07-03,"ANHEUSER-BUSCH COMPANIES, LLC",,15000.0
2012-07-05,"TOWNHOUSE COMPANY, LLC",,5000.0
2012-07-05,"TONIO BURGOS & ASSOCIATES OF NEW JERSEY, LLC",,12500.0
2012-07-05,TECH VALLEY HOLDINGS LLC,,15000.0
2012-07-09,"EMPIRE MERCHANTS, LLC",,2300.0
2012-07-09,"CHESTER MALL, LLC",,10000.0
2012-07-09,CONIFER REALTY LLC,,5000.0
2012-07-09,HALMAR INTERNATIONAL LLC,,20000.0
2012-07-09,"EMPIRE MERCHANTS NORTH, LLC",,29300.0
2012-07-10,TIME WARNER NY CABLE LLC,,20800.0
2012-07-10,"BROOKFIELD PROPERTIES MANAGEMENT, LLC",,25000.0
2012-07-10,H.J. KALIKOW & CO LLC,,25000.0
2012-07-10,"DOVER KNOLLS DEVELOPMENT CO. II, LLC",,15000.0
2012-07-10,"OTG MANAGEMENT, LLC",,20000.0
2012-07-10,"CABLEVISION OF ROCKLAND/RAMAPO, LLC",,25000.0
2012-07-11,"VISCONTI LIMOUSINE SERVICE, LLC",,2500.0
2012-07-11,RIVERGATE DEVELOPMENT LLC,,10000.0
2012-07-11,DOLP 655 PROPERTIES LLC,,2500.0
2012-07-11,DOLP 1155 PROPERTIES LLC,,2500.0
2012-07-11,"BROWN & WEINRAUB, PLLC",,5000.0
2012-07-11,DOLP 733 PROPERTIES LLC,,2500.0
2012-07-11,MOTORSPORT POWER LLC,,35000.0
2012-07-11,DOLP 205 PROPERTIES LLC,,2500.0
2012-07-11,DOLP 655 PROPERTIES LLC,,2500.0
2012-07-11,"VISCONTI BUS SERVICE, LLC",,2500.0
2012-07-11,DOLP 675 PROPERTIES LLC,,2500.0
2012-07-11,DOLP 205 PROPERTIES LLC,,2500.0
2012-07-11,"ALEXANDER HOLDINGS, LLC",,5000.0
2012-07-11,DOLP 1133 PROPERTIES LLC,,2500.0
2012-07-11,DOLP 114 PROPERTIES LLC,,2500.0
2012-07-11,DOLP 675 PROPERTIES LLC,,2500.0
2012-07-11,DV GROUP LLC,,3000.0
2012-07-12,THE SCOTTS COMPANY LLC AND SUBSIDIARIES,,15000.0
2012-07-12,TURTLE POND PUBLICATIONS LLC,,10000.0
2012-07-12,EAST COAST PRESERVATION CO. LLC,,2500.0
2012-08-17,GRAMERCY ADVISORS LLC,,5000.0
2012-08-18,VMS LLC,,25000.0
2012-08-18,VMS LLC,,25000.0
2012-10-09,ISLAND ACOUSTICS LLC,,3000.0
2012-10-15,MANHATTAN BEER DISTRIBUTORS LLC,,6500.0
2012-10-15,"LOGISTICARE SOLUTIONS, LLC",,5000.0
2012-10-15,"ICRAVE, LLC",,15000.0
2012-10-15,"OMP OFFICE, LLC",,30000.0
2012-11-16,NORTH JERSEY PALLET & LUMBER CO. LLC,,5000.0
2012-11-19,EPONYMOUS ASSOCIATES LLC,,5000.0
2012-11-19,GOTHAM GOVERNMENT RELATIONS LLC,,1000.0
2012-11-19,"SABER REAL ESTATE ADVISORS, LLC",,2500.0
2012-11-19,"CORDO & COMPANY, LLC",,6500.0
2012-11-19,"CPV VALLEY, LLC",,6500.0
2012-12-27,"NBCUNIVERSAL MEDIA, LLC",,9700.0
2012-12-27,"HALLETTS A DEVELOPMENT CO., LLC",,3000.0
2012-12-28,"COURTHOUSE CORPORATE CENTER, LLC",,15000.0
2012-12-28,MUSS DEVELOPMENT LLC,,5000.0
2013-01-08,"TISHMAN SPEYER DEVELOPMENT, LLC",,60800.0
2013-01-08,GOTHAM GOVERNMENT RELATIONS LLC,,2500.0
2013-01-08,MARATHON DEVELOPMENT GROUP LLC,,20000.0
2013-01-08,NYW REALTY LLC,,22800.0
2013-01-08,"TWIN AMERICA, LLC",,2500.0
2013-01-08,"ISLIP VENTURES, LLC",,15000.0
2013-01-08,"EAST TREMONT VASCULAR HEALTH CARE, PLLC",,1500.0
2013-01-08,WEST 37TH STREET PARKING LLC,,25000.0
2013-01-08,COLUMBUS 60TH REALTY LLC,,25000.0
2013-01-08,JANE STREET HOSPITALITY LLC,,25000.0
2013-01-08,EAST 46TH REALTY LLC,,25000.0
2013-01-08,LIBERTY STREET REALTY LLC,,25000.0
2013-01-08,RIVER YORK STRATFORD LLC,,25000.0
2013-01-08,79TH STREET REALTY LLC,,25000.0
2013-01-08,56TH REALTY LLC,,25000.0
2013-01-08,BP ONE WFC CO. LLC,,25000.0
2013-01-08,BARCLAY STREET REALTY LLC,,25000.0
2013-01-08,EAST 85TH REALTY LLC,,25000.0
2013-01-08,EAST 72ND REALTY LLC,,25000.0
2013-01-08,"EB RACEWAY, LLC",,5000.0
2013-01-08,LAFARGE MID-ATLANTIC LLC,,5000.0
2013-01-08,"CHESTER MALL, LLC",,5000.0
2013-01-08,NICHOLAS & LENCE COMMUNICATIONS LLC,,1500.0
2013-01-08,DIVERSE MANAGEMENT GROUP LLC,,2000.0
2013-01-09,118 W 72ND STREET RETAIL LLC,,10000.0
2013-01-09,J SYD LLC,,5000.0
2013-01-09,H.J.K. LLC,,10000.0
2013-01-09,203 WEST 90TH STREET RETAIL LLC,,10000.0
2013-01-09,170 WEST 75TH STREET RETAIL LLC,,10000.0
2013-01-09,AJ REALTY DEVELOPMENT COMPANY LLC,,10000.0
2013-01-09,235 WEST 102ND STREET RETAIL LLC,,10000.0
2013-01-09,215 WEST 90TH STREET RETAIL LLC,,10000.0
2013-01-09,1628 SECOND AVENUE RETAIL LLC,,10000.0
2013-01-09,"D & F DEVELOPMENT GROUP, LLC",,900.0
2013-01-09,H.J. KALIKOW & CO LLC,,15000.0
2013-01-09,BARSTOW DEVELOPMENT CO. LLC,,5000.0
2013-01-09,ROCCO J. DIINA LLC,,1500.0
2013-01-09,687 AMSTERDAM AVENUE RETAIL LLC,,10000.0
2013-01-09,"PEPSI BOTTLING VENTURES, LLC",,35000.0
2013-01-10,"PEERLESS EQUITIES, LLC",,10000.0
2013-01-10,ACCESS INDUSTRIES HOLDINGS LLC,,50000.0
2013-01-16,CAPITOL GROUP LLC,,3000.0
2013-01-16,COMCAST OF ILLINOIS/INDIANA/OHIO LLC,,4700.0
2013-01-16,"C&C, LLC PAC",,1500.0
2013-01-16,RPS 56 LLC,,25000.0
2013-01-16,DL-6 ASSOCIATES LLC,,25000.0
2013-01-16,"ZAREMBA BROWNELL & BROWN, PLLC",,5000.0
2013-01-16,KASIRER CONSULTING LLC,,1000.0
2013-01-16,"JIMNIK REALTY HOLDING, LLC",,11600.0
2013-01-16,R&R ENTERPRISES MIAMI LLC,,1000.0
2013-01-25,"OMP OFFICE, LLC",,10000.0
2013-01-25,"CABLEVISION OF OAKLAND, LLC",,30000.0
2013-01-28,134 W 58 LLC,,50000.0
2013-01-28,PJP TRUCKING COMPANY LLC,,15000.0
2013-01-28,ELCO MASTER LLC,,50000.0
2013-02-05,"PARKVIEW DEVELOPMENT & CONSTRUCTION, LLC",,12500.0
2013-02-05,TERN CONSTRUCTION & DEVELOPMENT LLC,,12500.0
2013-02-26,JM3 CONSTRUCTION LLC,,1000.0
2013-03-11,TAYLOR BIOMASS ENERGY LLC,,2500.0
2013-03-11,HELLMAN MANAGEMENT LLC,,1000.0
2013-03-11,ELC BEAUTY LLC,,5000.0
2013-03-11,"MORRIS WESTCHESTER CONST. CO., LLC",,1000.0
2013-03-11,THOMPSON & BENDER LLC,,2000.0
2013-03-11,MCG CONSTRUCTION LLC,,2000.0
2013-03-11,"TAYLOR RECYCLING FACILITY, LLC",,2500.0
2013-03-12,"TBE - MONTGOMERY, LLC",,2500.0
2013-03-12,"POS RESIDENTIAL MANAGEMENT, LLC",,2500.0
2013-03-12,JBS REALTY LLC,,1000.0
2013-03-12,"MORRIS ASSOCIATES, P.S., LLC",,1000.0
2013-03-12,"TONIO BURGOS & ASSOCIATES OF NEW JERSEY, LLC",,5000.0
2013-03-12,PANNONE LOPES DEVEREAUX & WEST LLC,,5000.0
2013-03-19,WTC MANAGEMENT AND DEVELOPMENT LLC,,15000.0
2013-03-19,ATLAS HOLDINGS LLC,,25000.0
2013-03-19,"MACANDREWS & FORBES GROUP, LLC",,11768.0
2013-04-02,ERIE STATION 241 LLC,,5000.0
2013-04-02,SERQUE LEASING CO. LLC,,15000.0
2013-04-02,"MIRAMAR PROPERTY PARTNERS, LLC",,15000.0
2013-04-02,"WILLETS POINT HOLDINGS, LLC",,5000.0
2013-04-02,"HAMPSHIRE MANAGEMENT COMPANY NUMBER 25, LLC",,25000.0
2013-04-02,"ENGEL BURMAN SR. HOUSING AT EAST NORTHPORT, LLC",,30000.0
2013-04-03,MANHATTAN TOWER GYM LLC,,15000.0
2013-04-03,687 AMSTERDAM AVENUE RETAIL LLC,,15000.0
2013-04-03,MACARTHUR HOLDINGS LLC,,15000.0
2013-04-03,THE SCOTTS COMPANY LLC,,26100.0
2013-05-01,"UNIVERSAL WALL SOLUTIONS, LLC",,2500.0
2013-05-01,"ROBERT MARTIN COMPANY, LLC",,1000.0
2013-05-01,"DESIGN DEVELOPMENT ARCHITECTS, PLLC",,500.0
2013-05-01,ALCOTT HR GROUP LLC,,500.0
2013-05-01,"ONSITE FACILITY SERVICES, LLC",,1000.0
2013-05-06,"ELANA CHARTERS, LLC",,16125.0
